user_id,input_text,recognized
1132147659,завтра в 7,2025-08-10T19:00:00
1132147659,завтра в 7 утра,2025-08-10T07:00:00
1132147659,сегодня в 22 10,2025-08-09T22:10:00
1132147659,в 22 20,2025-08-09T22:20:00
1132147659,22 20,2025-08-09T22:20:00
1132147659,в 9 утра,2025-08-10T09:00:00
764086738,30 секунд,2025-08-09T22:08:00.259096
764086738,22 07,2025-08-10T22:07:00
764086738,15 секунд,2025-08-09T22:09:18.928728
764086738,1,2025-08-10T13:00:00
764086738,минута,
764086738,1 минута,2025-08-09T22:12:01.223436
764086738,1 минута,2025-08-09T22:12:16.704902
